[2020-08-16 08:23:36,223] chlorophyll.nn       INFO    :   9199 -  144326768.0 (  -1995296.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:36,549] chlorophyll.nn       INFO    :   9299 -  142346624.0 (  -1980144.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:36,889] chlorophyll.nn       INFO    :   9399 -  140370640.0 (  -1975984.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:37,218] chlorophyll.nn       INFO    :   9499 -  138376432.0 (  -1994208.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:37,552] chlorophyll.nn       INFO    :   9599 -  136428160.0 (  -1948272.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:37,883] chlorophyll.nn       INFO    :   9699 -  134521440.0 (  -1906720.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:38,207] chlorophyll.nn       INFO    :   9799 -  132639952.0 (  -1881488.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:38,533] chlorophyll.nn       INFO    :   9899 -  130783488.0 (  -1856464.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:38,857] chlorophyll.nn       INFO    :   9999 -  128952432.0 (  -1831056.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:38,858] chlorophyll.nn       INFO    : optimization took 33.97 seconds
[2020-08-16 08:23:38,859] chlorophyll.nn       INFO    : RMSE of validation chlorophyll vs predicted chlorophyll: 6.934104358061564
[2020-08-16 08:23:38,860] chlorophyll.nn       INFO    : standard deviation of validation chlorophyll:            9.383413115176625
