[2020-08-13 20:20:38,568] chlorophyll.nn       INFO    :   7299 -   59442480.0 (   -141484.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:38,978] chlorophyll.nn       INFO    :   7399 -   59303956.0 (   -138524.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:39,322] chlorophyll.nn       INFO    :   7499 -   59168076.0 (   -135880.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:39,665] chlorophyll.nn       INFO    :   7599 -   59034772.0 (   -133304.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:40,036] chlorophyll.nn       INFO    :   7699 -   58903952.0 (   -130820.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:40,411] chlorophyll.nn       INFO    :   7799 -   58775176.0 (   -128776.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:40,790] chlorophyll.nn       INFO    :   7899 -   58648728.0 (   -126448.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:41,170] chlorophyll.nn       INFO    :   7999 -   58524488.0 (   -124240.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:41,557] chlorophyll.nn       INFO    :   8099 -   58402244.0 (   -122244.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:41,916] chlorophyll.nn       INFO    :   8199 -   58281536.0 (   -120708.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:42,351] chlorophyll.nn       INFO    :   8299 -   58162240.0 (   -119296.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:42,768] chlorophyll.nn       INFO    :   8399 -   58044456.0 (   -117784.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:43,184] chlorophyll.nn       INFO    :   8499 -   57927780.0 (   -116676.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:43,584] chlorophyll.nn       INFO    :   8599 -   57812388.0 (   -115392.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:43,980] chlorophyll.nn       INFO    :   8699 -   57698288.0 (   -114100.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:44,366] chlorophyll.nn       INFO    :   8799 -   57585208.0 (   -113080.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:44,742] chlorophyll.nn       INFO    :   8899 -   57473292.0 (   -111916.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:45,108] chlorophyll.nn       INFO    :   8999 -   57362368.0 (   -110924.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:45,473] chlorophyll.nn       INFO    :   9099 -   57252548.0 (   -109820.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:45,843] chlorophyll.nn       INFO    :   9199 -   57143432.0 (   -109116.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:46,227] chlorophyll.nn       INFO    :   9299 -   57035328.0 (   -108104.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:46,617] chlorophyll.nn       INFO    :   9399 -   56928196.0 (   -107132.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:46,993] chlorophyll.nn       INFO    :   9499 -   56821872.0 (   -106324.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:47,434] chlorophyll.nn       INFO    :   9599 -   56716348.0 (   -105524.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:47,797] chlorophyll.nn       INFO    :   9699 -   56611720.0 (   -104628.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:48,200] chlorophyll.nn       INFO    :   9799 -   56507864.0 (   -103856.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:48,639] chlorophyll.nn       INFO    :   9899 -   56404808.0 (   -103056.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:49,066] chlorophyll.nn       INFO    :   9999 -   56302536.0 (   -102272.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:49,069] chlorophyll.nn       INFO    : optimization took 43.87 seconds
[2020-08-13 20:20:49,773] chlorophyll.nn       INFO    : RMSE of validation chlorophyll vs predicted chlorophyll: 8.958931783934752
[2020-08-13 20:20:49,774] chlorophyll.nn       INFO    : standard deviation of validation chlorophyll:            9.383413115176625
