[2020-08-13 20:37:08,245] chlorophyll.autograd INFO    :    499 -  290314752.0 (  -5451296.0 difference)
[2020-08-13 20:37:08,654] chlorophyll.autograd INFO    :    599 -  284940000.0 (  -5374752.0 difference)
[2020-08-13 20:37:09,045] chlorophyll.autograd INFO    :    699 -  279229760.0 (  -5710240.0 difference)
[2020-08-13 20:37:09,475] chlorophyll.autograd INFO    :    799 -  273024064.0 (  -6205696.0 difference)
[2020-08-13 20:37:09,868] chlorophyll.autograd INFO    :    899 -  266215904.0 (  -6808160.0 difference)
[2020-08-13 20:37:10,293] chlorophyll.autograd INFO    :    999 -  258717840.0 (  -7498064.0 difference)
[2020-08-13 20:37:10,672] chlorophyll.autograd INFO    :   1099 -  250481328.0 (  -8236512.0 difference)
[2020-08-13 20:37:11,080] chlorophyll.autograd INFO    :   1199 -  241517280.0 (  -8964048.0 difference)
[2020-08-13 20:37:11,458] chlorophyll.autograd INFO    :   1299 -  231912064.0 (  -9605216.0 difference)
[2020-08-13 20:37:11,853] chlorophyll.autograd INFO    :   1399 -  221828448.0 ( -10083616.0 difference)
[2020-08-13 20:37:12,272] chlorophyll.autograd INFO    :   1499 -  211491264.0 ( -10337184.0 difference)
[2020-08-13 20:37:12,669] chlorophyll.autograd INFO    :   1599 -  201158800.0 ( -10332464.0 difference)
[2020-08-13 20:37:13,079] chlorophyll.autograd INFO    :   1699 -  191087168.0 ( -10071632.0 difference)
[2020-08-13 20:37:13,465] chlorophyll.autograd INFO    :   1799 -  181501024.0 (  -9586144.0 difference)
[2020-08-13 20:37:13,877] chlorophyll.autograd INFO    :   1899 -  172576368.0 (  -8924656.0 difference)
[2020-08-13 20:37:14,287] chlorophyll.autograd INFO    :   1999 -  164434464.0 (  -8141904.0 difference)
[2020-08-13 20:37:14,684] chlorophyll.autograd INFO    :   2099 -  157143424.0 (  -7291040.0 difference)
[2020-08-13 20:37:15,113] chlorophyll.autograd INFO    :   2199 -  150721408.0 (  -6422016.0 difference)
[2020-08-13 20:37:15,515] chlorophyll.autograd INFO    :   2299 -  145142528.0 (  -5578880.0 difference)
[2020-08-13 20:37:15,924] chlorophyll.autograd INFO    :   2399 -  140346496.0 (  -4796032.0 difference)
[2020-08-13 20:37:16,322] chlorophyll.autograd INFO    :   2499 -  136261968.0 (  -4084528.0 difference)
[2020-08-13 20:37:16,728] chlorophyll.autograd INFO    :   2599 -  132816984.0 (  -3444984.0 difference)
[2020-08-13 20:37:17,124] chlorophyll.autograd INFO    :   2699 -  129935664.0 (  -2881320.0 difference)
[2020-08-13 20:37:17,520] chlorophyll.autograd INFO    :   2799 -  127534656.0 (  -2401008.0 difference)
[2020-08-13 20:37:17,916] chlorophyll.autograd INFO    :   2899 -  125524608.0 (  -2010048.0 difference)
[2020-08-13 20:37:18,339] chlorophyll.autograd INFO    :   2999 -  123830624.0 (  -1693984.0 difference)
[2020-08-13 20:37:18,737] chlorophyll.autograd INFO    :   3099 -  122393360.0 (  -1437264.0 difference)
[2020-08-13 20:37:19,147] chlorophyll.autograd INFO    :   3199 -  121164400.0 (  -1228960.0 difference)
[2020-08-13 20:37:19,536] chlorophyll.autograd INFO    :   3299 -  120103872.0 (  -1060528.0 difference)
[2020-08-13 20:37:19,949] chlorophyll.autograd INFO    :   3399 -  119178352.0 (   -925520.0 difference)
[2020-08-13 20:37:20,350] chlorophyll.autograd INFO    :   3499 -  118362168.0 (   -816184.0 difference)
